T,B,C11,C12,C44
4,748.371941954,1148.33696541,548.389430225,294.201618908
7,748.371445109,1148.33621317,548.389061078,294.201306244
10,748.369686315,1148.33353895,548.387759998,294.200205052
13,748.36528336,1148.32682067,548.384514704,294.197472153
16,748.356093268,1148.31275788,548.377760962,294.191845698
19,748.338923852,1148.28642845,548.365171552,294.181529569
22,748.309465537,1148.24113509,548.343630761,294.164191976
25,748.262663235,1148.16890392,548.309542894,294.137150696
28,748.193366021,1148.06146869,548.259314686,294.097661683
31,748.096939762,1147.91125581,548.18978174,294.043186028
34,747.969657292,1147.71205506,548.098458409,293.971570609
37,747.808843444,1147.45931444,547.983607948,293.881135851
40,747.612841725,1147.15011624,547.844204471,293.770693168
43,747.38088571,1146.78299052,547.679833308,293.639515094
46,747.112934709,1146.35764256,547.490580782,293.487282172
49,746.809508602,1145.8746798,547.276923001,293.314019499
52,746.471545547,1145.33537886,547.039628893,293.120031504
55,746.100278487,1144.7414712,546.77968213,292.905841103
58,745.697140008,1144.09499934,546.498210341,292.672134625
61,745.26368622,1143.39818671,546.196435973,292.41971514
64,744.801536441,1142.65335035,545.875629485,292.149462903
67,744.312330663,1141.86284173,545.537075132,291.862303095
70,743.797695587,1141.02899423,545.182046264,291.559180256
73,743.259220183,1140.1540916,544.811784476,291.241038432
76,742.698437164,1139.2403442,544.427483648,290.908805976
79,742.116813193,1138.28988078,544.030279398,290.563384559
82,741.515739153,1137.30472824,543.621244609,290.205641335
85,740.896527102,1136.28681782,543.201381743,289.83640385
88,740.260407835,1135.23797327,542.771625116,289.456456803
91,739.608531505,1134.15991843,542.332838044,289.066540781
94,738.941968719,1133.05427685,541.885814652,288.667351592
97,738.261712601,1131.92257145,541.431283176,288.259540919
100,737.568684022,1130.7662338,540.969909132,287.843718261
103,736.863732566,1129.58660239,540.502297655,287.42045144
106,736.147642831,1128.38493332,540.028997585,286.990269408
109,735.42113773,1127.16240036,539.550506413,286.553664103
112,734.684881926,1125.92010045,539.067272663,286.111092485
115,733.939486941,1124.6590583,538.57970126,285.662979245
118,733.185515215,1123.38023555,538.088155046,285.2097187
121,732.42348213,1122.08452669,537.592959851,284.75167666
124,731.653862099,1120.77277175,537.094407275,284.289193098
127,730.877089371,1119.44574994,536.592759088,283.822583787
130,730.093563537,1118.10419673,536.088246942,283.352141906
133,729.303651234,1116.74879834,535.58107768,282.878139962
136,728.507687976,1115.38019317,535.071435377,282.400831606
139,727.705982675,1113.99898517,534.559481427,281.920452669
142,726.898818384,1112.60573265,534.045361251,281.437223043
145,726.086455544,1111.20096517,533.529200733,280.951347519
148,725.269132396,1109.7851789,533.011109143,280.463017061
151,724.447068979,1108.35883522,532.491185859,279.972410168
154,723.62046655,1106.92237139,531.969514132,279.479693286
157,722.789510181,1105.47619671,531.446166918,278.985022783
160,721.954370707,1104.02069598,530.921208069,278.488544166
163,721.115204314,1102.55623394,530.3946895,277.990394458
166,720.272155166,1101.08314985,529.866657823,277.490702059
169,719.425355713,1099.60176545,529.337150842,276.989587303
172,718.574927916,1098.11238462,528.806199566,276.487163559
175,717.720984101,1096.61529538,528.273828462,275.983537316
178,716.863627444,1095.11076605,527.740058139,275.4788092
181,716.00295343,1093.59905636,527.204901963,274.973073725
184,715.139049202,1092.08040455,526.668371528,274.466420323
187,714.271995594,1090.5550403,526.130473241,273.958933253
190,713.401866565,1089.02318236,525.591208667,273.450692721
193,712.528730989,1087.48503679,525.050578088,272.941774003
196,711.652651479,1085.94079849,524.508577973,272.432249043
199,710.773685932,1084.39065239,523.965202704,271.922185685
202,709.891887933,1082.83477643,523.420443684,271.411648516
205,709.007306357,1081.27333766,522.874290705,270.900699064
208,708.119986544,1079.70649657,522.326731533,270.389395483
211,707.229969909,1078.13440651,521.77775161,269.877793826
214,706.33729434,1076.55721027,521.227336377,269.365946822
217,705.441995045,1074.97504979,520.67546767,268.853905216
220,704.544104238,1073.38805321,520.122129753,268.341717429
223,703.643651197,1071.7963503,519.567301646,267.829429734
226,702.740662903,1070.20006001,519.010964349,267.317086473
229,701.835164264,1068.5993014,518.453095697,266.804729942
232,700.927177454,1066.99418148,517.893675439,266.292400796
235,700.016723474,1065.3848089,517.332680762,265.780138198
238,699.103820766,1063.7712853,516.770088501,265.267979559
241,698.188486442,1062.15370756,516.205875881,264.755960852
244,697.270736059,1060.53217021,515.640018985,264.244116798
247,696.350583409,1058.90676534,515.072492443,263.732480925
250,695.428041195,1057.2775771,514.503273241,263.221085109
253,694.503120705,1055.64469084,513.932335638,262.709960487
256,693.575832283,1054.00818664,513.359655105,262.199137151
259,692.646184896,1052.36814305,512.785205819,261.688643795
262,691.714186495,1050.72463188,512.208963804,261.178508338
265,690.77984414,1049.0777289,511.630901761,260.668758053
268,689.843164593,1047.42750335,511.050995216,260.15941871
271,688.904152622,1045.77402127,510.469218299,259.650515992
274,687.962813074,1044.11734807,509.885545574,259.142074127
277,687.019150376,1042.45754737,509.299951881,258.634117059
280,686.073166957,1040.79468101,508.712409928,258.12666788
283,685.124866411,1039.12880695,508.122896142,257.619748861
286,684.17425019,1037.4599821,507.531384237,257.113381814
289,683.221320336,1035.78826356,506.937848724,256.607587803
292,682.266077816,1034.11370334,506.342265055,256.102387447
295,681.308523491,1032.43635586,505.744607307,255.597800706
298,680.348657613,1030.7562696,505.144851618,255.093846995
301,679.386480232,1029.07349563,504.542972535,254.590545189
304,678.421990693,1027.38808072,503.938945681,254.087913711
307,677.455188567,1025.70007321,503.332746245,253.585970566
310,676.486072828,1024.00951654,502.724350974,253.084733225
313,675.514642437,1022.3164559,502.113735706,252.584218636
316,674.540895527,1020.62093443,501.500876077,252.084443502
319,673.564830979,1018.92299327,500.885749832,251.585423946
322,672.586446459,1017.22267359,500.268332891,251.087175727
325,671.605740219,1015.52001569,499.648602486,250.589714568
328,670.622710317,1013.81505838,499.026536286,250.093054999
331,669.637354195,1012.10783893,498.402111828,249.597212099
334,668.649669965,1010.39839372,497.775308087,249.102200102
337,667.65965493,1008.68676066,497.146102063,248.608032942
340,666.667306334,1006.97297248,496.514473259,248.114724386
343,665.672622542,1005.25706598,495.880400822,247.622287534
346,664.675600211,1003.53907239,495.243864119,247.130735662
349,663.676237116,1001.81902692,494.604842216,246.640081279
352,662.674530884,1000.09695899,493.963316828,246.15033694
355,661.670478707,998.37290287,493.319266625,245.661514591
358,660.664078102,996.646886915,492.672673695,245.173626136
361,659.655327139,994.91894266,492.023519378,244.686683133
364,658.644222808,993.189099044,491.371784691,244.200696744
367,657.630763208,991.457382143,490.717453741,243.715678103
370,656.614946013,989.723822773,490.060507633,243.231637761
373,655.596769365,987.988449037,489.400929529,242.748586133
376,654.576230903,986.251284122,488.738704294,242.266533561
379,653.553329036,984.512357175,488.073814966,241.785489596
382,652.528061929,982.771692663,487.406246562,241.305464253
385,651.500428095,981.029316068,486.735984109,240.826466694
388,650.470425896,979.285252213,486.063012738,240.348506138
391,649.438054415,977.539524257,485.387319494,239.871591233
394,648.403312574,975.792154759,484.708891481,239.395730898
397,647.366199238,974.043169022,484.027714346,238.920933194
400,646.326714012,972.29258731,483.343777362,238.447206475
403,645.284856287,970.54043147,482.657068696,237.974558428
406,644.240626145,968.786723733,481.967577351,237.502996705
409,643.194023275,967.031484336,481.275292745,237.032528609
412,642.145047992,965.274733841,480.580205068,236.563161217
415,641.093701201,963.516491741,479.882305931,236.094901443
418,640.03998325,961.756777614,479.181586068,235.627755836
421,638.983895689,959.995610163,478.478038453,235.161730558
424,637.925439569,958.23300682,477.771655943,234.696831912
427,636.864616649,956.468986586,477.06243168,234.233065546
430,635.801428912,954.703567028,476.350359853,233.770437099
433,634.735878697,952.936762422,475.635436834,233.308951676
436,633.667968836,951.168592528,474.91765699,232.848614506
439,632.597702254,949.39907001,474.197018376,232.389430247
442,631.525082173,947.62821275,473.473516884,231.931403346
445,630.45011241,945.856034115,472.747151557,231.47453808
448,629.372797254,944.082548425,472.017921669,231.018838316
451,628.293140711,942.307769597,471.285826268,230.564307809
454,627.211148499,940.531713933,470.550865782,230.110949904
457,626.126825066,938.754389018,469.813043091,229.658767439
460,625.040176682,936.975810513,469.072359766,229.207763679
463,623.951209194,935.195989892,468.328818845,228.757940814
466,622.859929509,933.414937451,467.582425538,228.309301198
469,621.766344653,931.632665902,466.833184028,227.861846752
472,620.670461908,929.849182591,466.081101566,227.415579073
475,619.572289548,928.064498812,465.326184916,226.970499225
478,618.47183602,926.278624922,464.568441569,226.526608765
481,617.36911024,924.491568059,463.807881331,226.083907969
484,616.264121825,922.703336716,463.04451438,225.642397396
487,615.156881011,920.913937837,462.278352598,225.202076942
490,614.047398031,919.123379961,461.509407066,224.762946337
493,612.935684285,917.331667289,460.737692783,224.325004943
496,611.821751555,915.538807482,459.963223591,223.888251893
499,610.705612055,913.74480547,459.186015347,223.452685826
502,609.587278585,911.949664667,458.406085543,223.018305168
505,608.466764926,910.153390422,457.623452177,222.585107818
508,607.344084897,908.355985582,456.838134555,222.153091371
511,606.219253605,906.557453334,456.05015374,221.722253025
514,605.09228615,904.757794768,455.259531841,221.292589687
517,603.963198873,902.957012907,454.466291856,220.864097923
520,602.832008399,901.155107349,453.670458924,220.436773695
523,601.698732242,899.352078795,452.872058965,220.010612763
526,600.56338843,897.547926754,452.071119267,219.585610509
529,599.425995819,895.742650181,451.267668638,219.161761589
532,598.286574307,893.936247855,450.461737532,218.739060685
535,597.145144083,892.128713906,449.653359171,218.317501709
538,596.001726367,890.320048377,448.842565361,217.897078276
541,594.856343021,888.510245174,448.029391944,217.477783494
544,593.709016932,886.699301347,447.213874724,217.059610292
547,592.55977161,884.88721019,446.39605232,216.642550506
550,591.408631228,883.073965713,445.575963985,216.226596177
553,590.255621411,881.259560734,444.753651749,215.811738685
556,589.100768114,879.443984985,443.929159679,215.397968672
559,587.944098162,877.627231956,443.102531265,214.985276543
562,586.785639718,875.809292018,442.273813568,214.573652007
565,585.625421762,873.990154222,441.443055533,214.163084358
568,584.463473747,872.169806391,440.610307425,213.753562599
571,583.299826597,870.348235771,439.77562201,213.345074698
574,582.134512355,868.525430024,438.939053521,212.93760848
577,580.967563416,866.701375797,438.100657225,212.531151161
580,579.799013704,864.876054808,437.260493152,212.125689037
583,578.628898248,863.049454823,436.418619961,211.721208401
586,577.457252632,861.221556142,435.575100876,211.317694448
589,576.284114058,859.392341197,434.730000488,210.915132158
592,575.109520684,857.561789781,433.883386135,210.513505623
595,573.933511565,855.729884222,433.035325237,210.112798467
598,572.756127427,853.896600768,432.185890757,209.71299354
601,571.577409729,852.061917469,431.33515586,209.31407319
604,570.397401258,850.225811675,430.48319605,208.916019134
607,569.216146012,848.388257861,429.630090088,208.518812053
610,568.03368938,846.549229592,428.775919273,208.122432478
613,566.850077838,844.708700836,427.920766339,207.726859786
616,565.665359641,842.866642118,427.064718403,207.33207307
619,564.479583576,841.023025632,426.207862549,206.938050203
622,563.292800436,839.17781949,425.350290909,206.544768669
625,562.105061993,837.330990955,424.492097512,206.152204886
628,560.916422168,835.482508093,423.633379206,205.760334983
631,559.726935218,833.632334337,422.774235658,205.36913389
634,558.536657761,831.78043513,421.914769076,204.978575811
637,557.345647549,829.926773101,421.055084772,204.588634267
640,556.153964087,828.071305707,420.195293278,204.199281476
643,554.961668029,826.213996947,419.335503571,203.810489714
646,553.768821975,824.354801759,418.475832082,203.422229394
649,552.575490053,822.493678302,417.616395928,203.034470707
652,551.381738355,820.630580455,416.757317305,202.647182666
655,550.18763419,818.765462697,415.898719937,202.260333098
658,548.993246739,816.898276001,415.040732108,201.873889543
661,547.798646996,815.028970122,414.183485433,201.487818196
664,546.603908002,813.157494575,413.327114716,201.102083854
667,545.409104099,811.283792928,412.471759684,200.716651335
670,544.214311987,809.407812506,411.617561728,200.331483275
673,543.019610236,807.529497743,410.764666483,199.946542181
676,541.825078999,805.648785874,409.913225561,199.561788924
679,540.630800749,803.765618697,409.063391775,199.177183665
682,539.436859945,801.879933983,408.215322927,198.792685069
685,538.243342961,799.991665259,407.369181812,198.408250809
688,537.050338442,798.100746498,406.525134414,198.02383776
691,535.857937341,796.207109496,405.683351263,197.639401108
694,534.66623237,794.310683556,404.844006777,197.254894793
697,533.475319112,792.411395654,404.007280841,196.870272048
700,532.285294637,790.509169683,403.173357114,196.485484622
703,531.096259087,788.603929847,402.342423707,196.100482643
706,529.908314598,786.695594199,401.514674798,195.715215333
709,528.721565969,784.784082644,400.690307632,195.329630256
712,527.536120308,782.869310983,399.869524971,194.943673849
715,526.352087406,780.951191537,399.05253534,194.557291128
718,525.16957969,779.029634729,398.23955217,194.170425527
721,523.988711836,777.104550876,397.430792317,193.7830192
724,522.809601816,775.175841339,396.626482055,193.395012677
727,521.632369854,773.243413292,395.826848134,193.006345026
730,520.457139353,771.307165235,395.032126412,192.616953649
733,519.284036289,769.366995424,394.242556721,192.226774789
736,518.113190005,767.422796041,393.458386987,191.835742459
739,516.944732303,765.474461332,392.679867789,191.443789169
742,515.778798503,763.521880008,391.907257751,191.050846167
745,514.615526751,761.564936683,391.140821785,190.656842493
748,513.455058428,759.60351447,390.380830407,190.261705711
751,512.297538427,757.637493186,389.627561048,189.86536134
754,511.143114544,755.666748874,388.88129738,189.467733443
757,509.991938735,753.691154048,388.142331079,189.068743572
760,508.844165325,751.710579365,387.410958305,188.668312073
763,507.699953104,749.724890485,386.687484413,188.266356908
766,506.559463913,747.733950809,385.972220466,187.862794034
769,505.422863789,745.737619154,385.265486106,187.457537435
772,504.290322316,743.735750027,384.567608461,187.050498895
775,503.162012652,741.728195801,383.878921077,186.641588502
778,502.038112509,739.714806102,383.199765712,186.230713516
781,500.918802857,737.695421845,382.530493364,185.817779332
784,499.80426946,735.669886254,381.871461064,185.402688898
787,498.694702211,733.638032027,381.223037302,184.985343218
790,497.590294739,731.599692434,380.585595891,184.565640025
793,496.491245794,729.554694228,379.959521577,184.143475756
796,495.397758042,727.502862141,379.345205992,183.718743391
799,494.31003924,725.444012456,378.743052632,183.291333929
