,T,,,,volume,,,energy,,,,
,4,,,,112.3579321754,,,-5.03587363326,,,,0.0097033781
,7,,,,112.357937977,,,-5.035873637276,,,,0.038912849
,10,,,,112.3579584084,,,-5.035873651365,,,,0.10545488
,13,,,,112.3580090692,,,-5.03587368599,,,,0.22952275
,16,,,,112.3581131407,,,-5.035873756061,,,,0.43748305
,19,,,,112.3583039978,,,-5.035873881904,,,,0.7629042
,22,,,,112.3586274524,,,-5.035874090502,,,,1.2420913
,25,,,,112.3591413558,,,-5.035874416398,,,,1.9054948
,28,,,,112.359912051,,,-5.035874901684,,,,2.7705144
,31,,,,112.3610091244,,,-5.035875595019,,,,3.8391381
,34,,,,112.3625002675,,,-5.03587654996,,,,5.099907
,37,,,,112.3644473542,,,-5.035877823044,,,,6.5319687
,40,,,,112.3669040339,,,-5.035879471949,,,,8.1092956
,43,,,,112.3699146528,,,-5.035881553917,,,,9.8040863
,46,,,,112.3735141399,,,-5.035884124516,,,,11.589101
,49,,,,112.377728501,,,-5.035887236726,,,,13.439062
,52,,,,112.3825756476,,,-5.035890940324,,,,15.331362
,55,,,,112.3880663684,,,-5.035895281496,,,,17.246315
,58,,,,112.3942053276,,,-5.035900302637,,,,19.167139
,61,,,,112.4009920208,,,-5.035906042286,,,,21.079779
,64,,,,112.4084216561,,,-5.03591253517,,,,22.972658
,67,,,,112.4164859419,,,-5.035919812309,,,,24.836402
,70,,,,112.4251737823,,,-5.03592790118,,,,26.663567
,73,,,,112.434471879,,,-5.035936825903,,,,28.448375
,76,,,,112.4443652502,,,-5.035946607457,,,,30.186471
,79,,,,112.4548376705,,,-5.035957263895,,,,31.87471
,82,,,,112.4658720425,,,-5.035968810567,,,,33.510962
,85,,,,112.4774507079,,,-5.035981260337,,,,35.09394
,88,,,,112.4895557043,,,-5.035994623794,,,,36.623057
,91,,,,112.5021689764,,,-5.036008909454,,,,38.098293
,94,,,,112.5152725479,,,-5.036024123954,,,,39.520089
,97,,,,112.528848658,,,-5.036040272224,,,,40.889252
,100,,,,112.5428798707,,,-5.036057357662,,,,42.206876
,103,,,,112.5573491582,,,-5.036075382284,,,,43.474274
,106,,,,112.5722399648,,,-5.036094346868,,,,44.692924
,109,,,,112.5875362536,,,-5.036114251085,,,,45.864421
,112,,,,112.6032225381,,,-5.03613509362,,,,46.99044
,115,,,,112.6192839036,,,-5.036156872279,,,,48.072703
,118,,,,112.6357060183,,,-5.036179584094,,,,49.112953
,121,,,,112.6524751366,,,-5.036203225405,,,,50.112937
,124,,,,112.6695780965,,,-5.036227791952,,,,51.074384
,127,,,,112.6870023124,,,-5.036253278942,,,,51.998998
,130,,,,112.7047357637,,,-5.036279681119,,,,52.888443
,133,,,,112.7227669806,,,-5.036306992825,,,,53.74434
,136,,,,112.7410850281,,,-5.036335208053,,,,54.568257
,139,,,,112.7596794878,,,-5.036364320499,,,,55.361709
,142,,,,112.7785404392,,,-5.0363943236,,,,56.126152
,145,,,,112.7976584406,,,-5.036425210582,,,,56.862985
,148,,,,112.8170245085,,,-5.036456974489,,,,57.573548
,151,,,,112.8366300986,,,-5.036489608218,,,,58.25912
,154,,,,112.8564670855,,,-5.036523104545,,,,58.920925
,157,,,,112.8765277435,,,-5.036557456154,,,,59.560128
,160,,,,112.8968047278,,,-5.036592655657,,,,60.177836
,163,,,,112.9172910561,,,-5.036628695614,,,,60.775107
,166,,,,112.9379800906,,,-5.036665568553,,,,61.352943
,169,,,,112.9588655208,,,-5.036703266984,,,,61.912297
,172,,,,112.9799413474,,,-5.036741783417,,,,62.454074
,175,,,,113.0012018663,,,-5.036781110368,,,,62.979132
,178,,,,113.0226416534,,,-5.036821240377,,,,63.488288
,181,,,,113.0442555503,,,-5.036862166012,,,,63.982313
,184,,,,113.0660386508,,,-5.036903879884,,,,64.46194
,187,,,,113.0879862875,,,-5.036946374647,,,,64.927865
,190,,,,113.1100940198,,,-5.036989643012,,,,65.380747
,193,,,,113.1323576219,,,-5.037033677747,,,,65.82121
,196,,,,113.1547730719,,,-5.037078471685,,,,66.249848
,199,,,,113.1773365411,,,-5.037124017728,,,,66.667223
,202,,,,113.200044384,,,-5.037170308851,,,,67.073867
,205,,,,113.2228931291,,,-5.037217338102,,,,67.470286
,208,,,,113.2458794699,,,-5.03726509861,,,,67.85696
,211,,,,113.2690002561,,,-5.037313583582,,,,68.234345
,214,,,,113.2922524862,,,-5.037362786308,,,,68.602872
,217,,,,113.3156332996,,,-5.037412700161,,,,68.962952
,220,,,,113.3391399697,,,-5.037463318599,,,,69.314974
,223,,,,113.3627698969,,,-5.037514635165,,,,69.659308
,226,,,,113.3865206026,,,-5.037566643488,,,,69.996307
,229,,,,113.4103897228,,,-5.037619337283,,,,70.326303
,232,,,,113.4343750029,,,-5.037672710352,,,,70.649614
,235,,,,113.458474292,,,-5.037726756582,,,,70.966544
,238,,,,113.4826855378,,,-5.037781469949,,,,71.277379
,241,,,,113.5070067821,,,-5.037836844511,,,,71.582392
,244,,,,113.5314361561,,,-5.037892874413,,,,71.881844
,247,,,,113.5559718763,,,-5.037949553887,,,,72.175984
,250,,,,113.58061224,,,-5.038006877246,,,,72.465046
,253,,,,113.6053556222,,,-5.038064838888,,,,72.749257
,256,,,,113.6302004713,,,-5.038123433293,,,,73.02883
,259,,,,113.6551453061,,,-5.038182655022,,,,73.303971
,262,,,,113.6801887124,,,-5.038242498719,,,,73.574875
,265,,,,113.70532934,,,-5.038302959106,,,,73.841727
,268,,,,113.7305658998,,,-5.038364030984,,,,74.104706
,271,,,,113.755897161,,,-5.038425709232,,,,74.363982
,274,,,,113.7813219487,,,-5.038487988806,,,,74.619717
,277,,,,113.8068391411,,,-5.038550864738,,,,74.872065
,280,,,,113.8324476673,,,-5.038614332134,,,,75.121176
,283,,,,113.8581465053,,,-5.038678386172,,,,75.367191
,286,,,,113.8839346796,,,-5.038743022104,,,,75.610247
,289,,,,113.9098112596,,,-5.038808235254,,,,75.850472
,292,,,,113.9357753571,,,-5.038874021014,,,,76.087991
,295,,,,113.961826125,,,-5.038940374845,,,,76.322924
,298,,,,113.9879627557,,,-5.039007292278,,,,76.555384
,301,,,,114.0141844789,,,-5.039074768907,,,,76.785482
,304,,,,114.0404905606,,,-5.039142800396,,,,77.013323
,307,,,,114.0668803014,,,-5.039211382469,,,,77.239006
,310,,,,114.0933530353,,,-5.039280510917,,,,77.462629
,313,,,,114.1199081281,,,-5.039350181591,,,,77.684285
,316,,,,114.1465449764,,,-5.039420390404,,,,77.904063
,319,,,,114.1732630062,,,-5.039491133328,,,,78.122049
,322,,,,114.2000616721,,,-5.039562406395,,,,78.338325
,325,,,,114.2269404558,,,-5.039634205697,,,,78.552971
,328,,,,114.2538988655,,,-5.039706527378,,,,78.766063
,331,,,,114.2809364344,,,-5.039779367643,,,,78.977673
,334,,,,114.3080527203,,,-5.039852722749,,,,79.187874
,337,,,,114.3352473045,,,-5.039926589008,,,,79.396733
,340,,,,114.3625197908,,,-5.040000962785,,,,79.604315
,343,,,,114.389869805,,,-5.040075840496,,,,79.810685
,346,,,,114.4172969939,,,-5.040151218611,,,,80.015902
,349,,,,114.4448010247,,,-5.040227093647,,,,80.220027
,352,,,,114.472381584,,,-5.040303462171,,,,80.423115
,355,,,,114.5000383779,,,-5.040380320802,,,,80.625222
,358,,,,114.5277711303,,,-5.040457666201,,,,80.826401
,361,,,,114.5555795832,,,-5.040535495079,,,,81.026703
,364,,,,114.5834634956,,,-5.040613804194,,,,81.226177
,367,,,,114.6114226432,,,-5.040692590346,,,,81.424872
,370,,,,114.6394568178,,,-5.040771850382,,,,81.622833
,373,,,,114.6675658267,,,-5.04085158119,,,,81.820106
,376,,,,114.6957494924,,,-5.040931779703,,,,82.016735
,379,,,,114.7240076521,,,-5.041012442895,,,,82.212761
,382,,,,114.752340157,,,-5.041093567781,,,,82.408225
,385,,,,114.7807468724,,,-5.041175151417,,,,82.603168
,388,,,,114.8092276767,,,-5.041257190899,,,,82.797626
,391,,,,114.8377824615,,,-5.041339683361,,,,82.991638
,394,,,,114.866411131,,,-5.041422625976,,,,83.185241
,397,,,,114.8951136018,,,-5.041506015955,,,,83.378468
,400,,,,114.9238898023,,,-5.041589850546,,,,83.571355
,403,,,,114.9527396727,,,-5.041674127034,,,,83.763934
,406,,,,114.9816631644,,,-5.041758842739,,,,83.956238
,409,,,,115.01066024,,,-5.041843995015,,,,84.148299
,412,,,,115.0397308729,,,-5.041929581254,,,,84.340147
,415,,,,115.0688750468,,,-5.042015598879,,,,84.531812
,418,,,,115.0980927559,,,-5.042102045347,,,,84.723323
,421,,,,115.1273840043,,,-5.042188918149,,,,84.914709
,424,,,,115.1567488059,,,-5.042276214807,,,,85.105998
,427,,,,115.1861871842,,,-5.042363932876,,,,85.297215
,430,,,,115.215699172,,,-5.04245206994,,,,85.488389
,433,,,,115.2452848112,,,-5.042540623618,,,,85.679544
,436,,,,115.2749441528,,,-5.042629591553,,,,85.870706
,439,,,,115.3046772566,,,-5.042718971424,,,,86.0619
,442,,,,115.3344841907,,,-5.042808760935,,,,86.25315
,445,,,,115.3643650319,,,-5.04289895782,,,,86.444479
,448,,,,115.3943198652,,,-5.042989559841,,,,86.635911
,451,,,,115.4243487838,,,-5.043080564789,,,,86.827467
,454,,,,115.4544518886,,,-5.043171970481,,,,87.019172
,457,,,,115.4846292885,,,-5.04326377476,,,,87.211046
,460,,,,115.5148811002,,,-5.043355975499,,,,87.40311
,463,,,,115.5452074478,,,-5.043448570592,,,,87.595386
,466,,,,115.5756084628,,,-5.043541557964,,,,87.787895
,469,,,,115.6060842843,,,-5.043634935561,,,,87.980657
,472,,,,115.6366350583,,,-5.043728701355,,,,88.173691
,475,,,,115.6672609381,,,-5.043822853344,,,,88.367018
,478,,,,115.697962084,,,-5.043917389548,,,,88.560657
,481,,,,115.7287386632,,,-5.044012308012,,,,88.754626
,484,,,,115.7595908497,,,-5.044107606803,,,,88.948945
,487,,,,115.7905188244,,,-5.044203284012,,,,89.143633
,490,,,,115.8215227746,,,-5.044299337753,,,,89.338706
,493,,,,115.8526028945,,,-5.04439576616,,,,89.534185
,496,,,,115.8837593846,,,-5.044492567392,,,,89.730085
,499,,,,115.914992452,,,-5.044589739627,,,,89.926425
,502,,,,115.9463023101,,,-5.044687281066,,,,90.123223
,505,,,,115.9776891786,,,-5.044785189929,,,,90.320495
,508,,,,116.0091532837,,,-5.044883464458,,,,90.518258
,511,,,,116.0406948576,,,-5.044982102915,,,,90.71653
,514,,,,116.0723141388,,,-5.045081103583,,,,90.915327
,517,,,,116.1040113718,,,-5.045180464763,,,,91.114665
,520,,,,116.1357868073,,,-5.045280184775,,,,91.314561
,523,,,,116.1676407022,,,-5.045380261961,,,,91.515031
,526,,,,116.199573319,,,-5.04548069468,,,,91.716092
,529,,,,116.2315849267,,,-5.045581481309,,,,91.917759
,532,,,,116.2636757999,,,-5.045682620244,,,,92.120048
,535,,,,116.2958462192,,,-5.045784109899,,,,92.322975
,538,,,,116.3280964711,,,-5.045885948706,,,,92.526556
,541,,,,116.3604268482,,,-5.045988135115,,,,92.730807
,544,,,,116.3928376486,,,-5.046090667593,,,,92.935742
,547,,,,116.4253291766,,,-5.046193544622,,,,93.141378
,550,,,,116.4579017421,,,-5.046296764704,,,,93.34773
,553,,,,116.4905556609,,,-5.046400326356,,,,93.554813
,556,,,,116.5232912547,,,-5.046504228112,,,,93.762642
,559,,,,116.5561088509,,,-5.046608468521,,,,93.971234
,562,,,,116.5890087827,,,-5.046713046148,,,,94.180602
,565,,,,116.6219913894,,,-5.046817959576,,,,94.390764
,568,,,,116.6550570156,,,-5.046923207401,,,,94.601732
,571,,,,116.6882060122,,,-5.047028788235,,,,94.813524
,574,,,,116.7214387355,,,-5.047134700706,,,,95.026153
,577,,,,116.7547555481,,,-5.047240943455,,,,95.239636
,580,,,,116.788156818,,,-5.04734751514,,,,95.453987
,583,,,,116.8216429194,,,-5.047454414431,,,,95.669222
,586,,,,116.855214232,,,-5.047561640014,,,,95.885355
,589,,,,116.8888711417,,,-5.047669190589,,,,96.102403
,592,,,,116.9226140401,,,-5.04777706487,,,,96.320379
,595,,,,116.9564433249,,,-5.047885261584,,,,96.539301
,598,,,,116.9903593996,,,-5.047993779472,,,,96.759182
,601,,,,117.0243626737,,,-5.048102617289,,,,96.980038
,604,,,,117.0584535628,,,-5.048211773802,,,,97.201886
,607,,,,117.0926324882,,,-5.048321247793,,,,97.424739
,610,,,,117.1268998777,,,-5.048431038054,,,,97.648614
,613,,,,117.1612561649,,,-5.048541143393,,,,97.873526
,616,,,,117.1957017895,,,-5.048651562629,,,,98.099492
,619,,,,117.2302371976,,,-5.048762294592,,,,98.326526
,622,,,,117.2648628412,,,-5.048873338128,,,,98.554644
,625,,,,117.2995791787,,,-5.048984692093,,,,98.783863
,628,,,,117.3343866747,,,-5.049096355353,,,,99.014199
,631,,,,117.3692858003,,,-5.04920832679,,,,99.245667
,634,,,,117.4042770327,,,-5.049320605295,,,,99.478283
,637,,,,117.4393608557,,,-5.049433189771,,,,99.712065
,640,,,,117.4745377596,,,-5.049546079134,,,,99.947028
,643,,,,117.5098082409,,,-5.049659272309,,,,100.18319
,646,,,,117.545172803,,,-5.049772768234,,,,100.42056
,649,,,,117.5806319559,,,-5.049886565857,,,,100.65917
,652,,,,117.6161862161,,,-5.050000664138,,,,100.89902
,655,,,,117.6518361069,,,-5.050115062046,,,,101.14014
,658,,,,117.6875821586,,,-5.050229758563,,,,101.38255
,661,,,,117.7234249081,,,-5.050344752681,,,,101.62625
,664,,,,117.7593648993,,,-5.050460043401,,,,101.87127
,667,,,,117.7954026833,,,-5.050575629736,,,,102.11762
,670,,,,117.831538818,,,-5.050691510709,,,,102.36533
,673,,,,117.8677738685,,,-5.050807685351,,,,102.61441
,676,,,,117.9041084074,,,-5.050924152707,,,,102.86487
,679,,,,117.9405430141,,,-5.05104091183,,,,103.11674
,682,,,,117.9770782758,,,-5.05115796178,,,,103.37004
,685,,,,118.013714787,,,-5.051275301632,,,,103.62478
,688,,,,118.0504531497,,,-5.051392930467,,,,103.88099
,691,,,,118.0872939735,,,-5.051510847377,,,,104.13868
,694,,,,118.1242378758,,,-5.051629051463,,,,104.39786
,697,,,,118.1612854817,,,-5.051747541834,,,,104.65857
,700,,,,118.1984374243,,,-5.051866317612,,,,104.92082
,703,,,,118.2356943445,,,-5.051985377923,,,,105.18463
,706,,,,118.2730568915,,,-5.052104721908,,,,105.45002
,709,,,,118.3105257226,,,-5.052224348711,,,,105.71701
,712,,,,118.3481015033,,,-5.052344257489,,,,105.98562
,715,,,,118.3857849076,,,-5.052464447407,,,,106.25588
,718,,,,118.4235766178,,,-5.052584917639,,,,106.5278
,721,,,,118.4614773251,,,-5.052705667364,,,,106.8014
,724,,,,118.4994877291,,,-5.052826695776,,,,107.07671
,727,,,,118.5376085384,,,-5.052948002072,,,,107.35375
,730,,,,118.5758404705,,,-5.053069585461,,,,107.63254
,733,,,,118.6141842521,,,-5.053191445157,,,,107.9131
,736,,,,118.6526406189,,,-5.053313580386,,,,108.19546
,739,,,,118.6912103159,,,-5.053435990379,,,,108.47964
,742,,,,118.7298940977,,,-5.053558674377,,,,108.76566
,745,,,,118.7686927284,,,-5.05368163163,,,,109.05355
,748,,,,118.8076069818,,,-5.053804861392,,,,109.34333
,751,,,,118.8466376415,,,-5.05392836293,,,,109.63502
,754,,,,118.8857855013,,,-5.054052135515,,,,109.92865
,757,,,,118.9250513648,,,-5.054176178427,,,,110.22425
,760,,,,118.9644360462,,,-5.054300490955,,,,110.52183
,763,,,,119.00394037,,,-5.054425072395,,,,110.82144
,766,,,,119.0435651713,,,-5.054549922049,,,,111.12308
,769,,,,119.0833112959,,,-5.054675039229,,,,111.42679
,772,,,,119.1231796006,,,-5.054800423253,,,,111.7326
,775,,,,119.1631709533,,,-5.054926073447,,,,112.04053
,778,,,,119.203286233,,,-5.055051989145,,,,112.35062
,781,,,,119.2435263302,,,-5.055178169686,,,,112.66288
,784,,,,119.2838921472,,,-5.05530461442,,,,112.97735
,787,,,,119.3243845978,,,-5.055431322701,,,,113.29406
,790,,,,119.3650046079,,,-5.055558293892,,,,113.61303
,793,,,,119.4057531155,,,-5.055685527362,,,,113.9343
,796,,,,119.4466310711,,,-5.055813022489,,,,114.25789
,799,,,,119.4876394377,,,-5.055940778655,,,,114.58385
,802,,,,119.528779191,,,-5.056068795253,,,,114.91219
,805,,,,119.5700513196,,,-5.05619707168,,,,115.24295
,808,,,,119.6114568257,,,-5.05632560734,,,,115.57617
,811,,,,119.6529967243,,,-5.056454401646,,,,115.91187
,814,,,,119.6946720446,,,-5.056583454015,,,,116.2501
,817,,,,119.7364838294,,,-5.056712763874,,,,116.59088
,820,,,,119.7784331355,,,-5.056842330655,,,,116.93425
,823,,,,119.8205210343,,,-5.056972153797,,,,117.28024
,826,,,,119.8627486116,,,-5.057102232744,,,,117.62889
,829,,,,119.9051169681,,,-5.057232566951,,,,117.98024
,832,,,,119.9476272198,,,-5.057363155875,,,,118.33433
,835,,,,119.9902804977,,,-5.057493998982,,,,118.69118
,838,,,,120.0330779487,,,-5.057625095745,,,,119.05085
,841,,,,120.0760207355,,,-5.057756445642,,,,119.41336
,844,,,,120.1191100372,,,-5.057888048159,,,,119.77877
,847,,,,120.1623470492,,,-5.058019902788,,,,120.1471
,850,,,,120.2057329838,,,-5.058152009027,,,,120.51841
,853,,,,120.2492690704,,,-5.05828436638,,,,120.89273
,856,,,,120.2929565557,,,-5.05841697436,,,,121.2701
,859,,,,120.3367967043,,,-5.058549832483,,,,121.65058
,862,,,,120.3807907989,,,-5.058682940273,,,,122.03419
,865,,,,120.4249401405,,,-5.058816297262,,,,122.421
,868,,,,120.4692460488,,,-5.058949902985,,,,122.81104
,871,,,,120.5137098629,,,-5.059083756987,,,,123.20437
,874,,,,120.5583329411,,,-5.059217858815,,,,123.60102
,877,,,,120.6031166617,,,-5.059352208027,,,,124.00105
,880,,,,120.6480624232,,,-5.059486804183,,,,124.40452
,883,,,,120.6931716448,,,-5.059621646853,,,,124.81146
,886,,,,120.7384457667,,,-5.059756735611,,,,125.22193
,889,,,,120.7838862505,,,-5.059892070037,,,,125.63598
,892,,,,120.8294945798,,,-5.060027649718,,,,126.05367
,895,,,,120.8752722605,,,-5.060163474248,,,,126.47506
,898,,,,120.9212208212,,,-5.060299543227,,,,126.90019
,901,,,,120.9673418137,,,-5.060435856259,,,,127.32912
,904,,,,121.0136368138,,,-5.060572412956,,,,127.76192
,907,,,,121.060107421,,,-5.060709212938,,,,128.19864
,910,,,,121.1067552599,,,-5.060846255827,,,,128.63934
,913,,,,121.1535819802,,,-5.060983541255,,,,129.08409
,916,,,,121.2005892571,,,-5.061121068858,,,,129.53294
,919,,,,121.2477787925,,,-5.061258838279,,,,129.98597
,922,,,,121.2951523147,,,-5.061396849167,,,,130.44323
,925,,,,121.3427115796,,,-5.061535101177,,,,130.90479
,928,,,,121.3904583712,,,-5.06167359397,,,,131.37073
,931,,,,121.4383945017,,,-5.061812327215,,,,131.84112
,934,,,,121.486521813,,,-5.061951300585,,,,132.31601
,937,,,,121.5348421763,,,-5.062090513761,,,,132.7955
,940,,,,121.5833574938,,,-5.062229966428,,,,133.27965
,943,,,,121.6320696987,,,-5.062369658279,,,,133.76853
,946,,,,121.6809807558,,,-5.062509589014,,,,134.26224
,949,,,,121.7300926629,,,-5.062649758336,,,,134.76084
,952,,,,121.7794074508,,,-5.062790165958,,,,135.26441
,955,,,,121.8289271846,,,-5.062930811598,,,,135.77305
,958,,,,121.878653964,,,-5.063071694979,,,,136.28684
,961,,,,121.9285899247,,,-5.063212815831,,,,136.80586
,964,,,,121.9787372385,,,-5.063354173892,,,,137.33021
,967,,,,122.0290981148,,,-5.063495768904,,,,137.85996
,970,,,,122.0796748011,,,-5.063637600617,,,,138.39523
,973,,,,122.1304695841,,,-5.063779668788,,,,138.9361
,976,,,,122.1814847904,,,-5.063921973178,,,,139.48268
,979,,,,122.2327227877,,,-5.064064513556,,,,140.03505
,982,,,,122.2841859857,,,-5.064207289698,,,,140.59334
,985,,,,122.335876837,,,-5.064350301385,,,,141.15763
,988,,,,122.3877978385,,,-5.064493548408,,,,141.72804
,991,,,,122.4399515319,,,-5.064637030559,,,,142.30468
,994,,,,122.4923405055,,,-5.064780747642,,,,142.88766
,997,,,,122.5449673949,,,-5.064924699466,,,,143.4771
